category,category_image_url,name,slug,image_url,gallery_image_urls,features,overview,technical_info,regular_price,sale_price,is_active,meta_title,meta_description,meta_keywords,sku_title,sku_id,sku_quantity,sku_shipping_status,sku_weight
Surgical Supplies,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=600,JKR Ultra Analyzer Model-0011,jkr-jkr-ultra-analyzer-model-0011-11,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Ultra Analyzer Model-0011 represents the pinnacle of Surgical Supplies technology, offering unmatched reliability.","Dimensions: 54x22cm
Voltage: 110-240V
Warranty: 2 Years",3354,3018.6,TRUE,JKR Ultra Analyzer Model-0011 | Buy Professional Analyzer Online,Looking for JKR Ultra Analyzer Model-0011? We offer the best prices on Surgical Supplies in the UAE. Fast delivery and warranty included.,"Surgical Supplies, Analyzer, JKR International, Buy Online",Standard Package,JKR-PROD-0011-SKU,428,available,2.5
Consumables,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=600,JKR Pro Sterilizer Model-0012,jkr-jkr-pro-sterilizer-model-0012-12,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Pro Sterilizer Model-0012 represents the pinnacle of Consumables technology, offering unmatched reliability.","Dimensions: 51x51cm
Voltage: 110-240V
Warranty: 2 Years",8017,7215.3,TRUE,JKR Pro Sterilizer Model-0012 | Buy Professional Sterilizer Online,Looking for JKR Pro Sterilizer Model-0012? We offer the best prices on Consumables in the UAE. Fast delivery and warranty included.,"Consumables, Sterilizer, JKR International, Buy Online",Standard Package,JKR-PROD-0012-SKU,203,available,2.5
Home Care,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=600,JKR Pro Cart Model-0013,jkr-jkr-pro-cart-model-0013-13,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Pro Cart Model-0013 represents the pinnacle of Home Care technology, offering unmatched reliability.","Dimensions: 63x37cm
Voltage: 110-240V
Warranty: 2 Years",2128,1915.2,TRUE,JKR Pro Cart Model-0013 | Buy Professional Cart Online,Looking for JKR Pro Cart Model-0013? We offer the best prices on Home Care in the UAE. Fast delivery and warranty included.,"Home Care, Cart, JKR International, Buy Online",Standard Package,JKR-PROD-0013-SKU,829,available,2.5
Medical Equipment,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=600,JKR Advanced Ventilator Model-0014,jkr-jkr-advanced-ventilator-model-0014-14,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Advanced Ventilator Model-0014 represents the pinnacle of Medical Equipment technology, offering unmatched reliability.","Dimensions: 38x41cm
Voltage: 110-240V
Warranty: 2 Years",2081,1872.9,TRUE,JKR Advanced Ventilator Model-0014 | Buy Professional Ventilator Online,Looking for JKR Advanced Ventilator Model-0014? We offer the best prices on Medical Equipment in the UAE. Fast delivery and warranty included.,"Medical Equipment, Ventilator, JKR International, Buy Online",Standard Package,JKR-PROD-0014-SKU,311,available,2.5
Home Care,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=600,JKR Precision Light Model-0015,jkr-jkr-precision-light-model-0015-15,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Precision Light Model-0015 represents the pinnacle of Home Care technology, offering unmatched reliability.","Dimensions: 28x60cm
Voltage: 110-240V
Warranty: 2 Years",971,873.9,TRUE,JKR Precision Light Model-0015 | Buy Professional Light Online,Looking for JKR Precision Light Model-0015? We offer the best prices on Home Care in the UAE. Fast delivery and warranty included.,"Home Care, Light, JKR International, Buy Online",Standard Package,JKR-PROD-0015-SKU,850,available,2.5
Surgical Supplies,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=600,JKR Smart Light Model-0016,jkr-jkr-smart-light-model-0016-16,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Smart Light Model-0016 represents the pinnacle of Surgical Supplies technology, offering unmatched reliability.","Dimensions: 33x52cm
Voltage: 110-240V
Warranty: 2 Years",5824,5241.6,TRUE,JKR Smart Light Model-0016 | Buy Professional Light Online,Looking for JKR Smart Light Model-0016? We offer the best prices on Surgical Supplies in the UAE. Fast delivery and warranty included.,"Surgical Supplies, Light, JKR International, Buy Online",Standard Package,JKR-PROD-0016-SKU,719,available,2.5
Diagnostic Tools,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=600,JKR Compact Analyzer Model-0017,jkr-jkr-compact-analyzer-model-0017-17,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Compact Analyzer Model-0017 represents the pinnacle of Diagnostic Tools technology, offering unmatched reliability.","Dimensions: 79x44cm
Voltage: 110-240V
Warranty: 2 Years",5553,4997.7,TRUE,JKR Compact Analyzer Model-0017 | Buy Professional Analyzer Online,Looking for JKR Compact Analyzer Model-0017? We offer the best prices on Diagnostic Tools in the UAE. Fast delivery and warranty included.,"Diagnostic Tools, Analyzer, JKR International, Buy Online",Standard Package,JKR-PROD-0017-SKU,9,available,2.5
Surgical Supplies,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=600,JKR Advanced Light Model-0018,jkr-jkr-advanced-light-model-0018-18,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Advanced Light Model-0018 represents the pinnacle of Surgical Supplies technology, offering unmatched reliability.","Dimensions: 55x85cm
Voltage: 110-240V
Warranty: 2 Years",9464,8517.6,TRUE,JKR Advanced Light Model-0018 | Buy Professional Light Online,Looking for JKR Advanced Light Model-0018? We offer the best prices on Surgical Supplies in the UAE. Fast delivery and warranty included.,"Surgical Supplies, Light, JKR International, Buy Online",Standard Package,JKR-PROD-0018-SKU,510,available,2.5
Consumables,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=600,JKR Ultra Compressor Model-0019,jkr-jkr-ultra-compressor-model-0019-19,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Ultra Compressor Model-0019 represents the pinnacle of Consumables technology, offering unmatched reliability.","Dimensions: 96x71cm
Voltage: 110-240V
Warranty: 2 Years",8359,7523.1,TRUE,JKR Ultra Compressor Model-0019 | Buy Professional Compressor Online,Looking for JKR Ultra Compressor Model-0019? We offer the best prices on Consumables in the UAE. Fast delivery and warranty included.,"Consumables, Compressor, JKR International, Buy Online",Standard Package,JKR-PROD-0019-SKU,915,available,2.5
Consumables,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=600,JKR Advanced Ventilator Model-0020,jkr-jkr-advanced-ventilator-model-0020-20,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Advanced Ventilator Model-0020 represents the pinnacle of Consumables technology, offering unmatched reliability.","Dimensions: 75x100cm
Voltage: 110-240V
Warranty: 2 Years",6410,5769.0,TRUE,JKR Advanced Ventilator Model-0020 | Buy Professional Ventilator Online,Looking for JKR Advanced Ventilator Model-0020? We offer the best prices on Consumables in the UAE. Fast delivery and warranty included.,"Consumables, Ventilator, JKR International, Buy Online",Standard Package,JKR-PROD-0020-SKU,128,available,2.5
Diagnostic Tools,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=600,JKR Elite Inhaler Model-0021,jkr-jkr-elite-inhaler-model-0021-21,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Elite Inhaler Model-0021 represents the pinnacle of Diagnostic Tools technology, offering unmatched reliability.","Dimensions: 95x26cm
Voltage: 110-240V
Warranty: 2 Years",1570,1413.0,TRUE,JKR Elite Inhaler Model-0021 | Buy Professional Inhaler Online,Looking for JKR Elite Inhaler Model-0021? We offer the best prices on Diagnostic Tools in the UAE. Fast delivery and warranty included.,"Diagnostic Tools, Inhaler, JKR International, Buy Online",Standard Package,JKR-PROD-0021-SKU,673,available,2.5
Consumables,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=600,JKR Smart Compressor Model-0022,jkr-jkr-smart-compressor-model-0022-22,https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Smart Compressor Model-0022 represents the pinnacle of Consumables technology, offering unmatched reliability.","Dimensions: 82x81cm
Voltage: 110-240V
Warranty: 2 Years",704,633.6,TRUE,JKR Smart Compressor Model-0022 | Buy Professional Compressor Online,Looking for JKR Smart Compressor Model-0022? We offer the best prices on Consumables in the UAE. Fast delivery and warranty included.,"Consumables, Compressor, JKR International, Buy Online",Standard Package,JKR-PROD-0022-SKU,258,available,2.5
Medical Equipment,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=600,JKR Pro Dispenser Model-0023,jkr-jkr-pro-dispenser-model-0023-23,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Pro Dispenser Model-0023 represents the pinnacle of Medical Equipment technology, offering unmatched reliability.","Dimensions: 84x21cm
Voltage: 110-240V
Warranty: 2 Years",4183,3764.7,TRUE,JKR Pro Dispenser Model-0023 | Buy Professional Dispenser Online,Looking for JKR Pro Dispenser Model-0023? We offer the best prices on Medical Equipment in the UAE. Fast delivery and warranty included.,"Medical Equipment, Dispenser, JKR International, Buy Online",Standard Package,JKR-PROD-0023-SKU,447,available,2.5
Home Care,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=600,JKR Compact Inhaler Model-0024,jkr-jkr-compact-inhaler-model-0024-24,https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Compact Inhaler Model-0024 represents the pinnacle of Home Care technology, offering unmatched reliability.","Dimensions: 56x77cm
Voltage: 110-240V
Warranty: 2 Years",704,633.6,TRUE,JKR Compact Inhaler Model-0024 | Buy Professional Inhaler Online,Looking for JKR Compact Inhaler Model-0024? We offer the best prices on Home Care in the UAE. Fast delivery and warranty included.,"Home Care, Inhaler, JKR International, Buy Online",Standard Package,JKR-PROD-0024-SKU,487,available,2.5
Consumables,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=600,JKR Ultra Inhaler Model-0025,jkr-jkr-ultra-inhaler-model-0025-25,https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Ultra Inhaler Model-0025 represents the pinnacle of Consumables technology, offering unmatched reliability.","Dimensions: 96x34cm
Voltage: 110-240V
Warranty: 2 Years",441,396.9,TRUE,JKR Ultra Inhaler Model-0025 | Buy Professional Inhaler Online,Looking for JKR Ultra Inhaler Model-0025? We offer the best prices on Consumables in the UAE. Fast delivery and warranty included.,"Consumables, Inhaler, JKR International, Buy Online",Standard Package,JKR-PROD-0025-SKU,305,available,2.5
Home Care,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=600,JKR Advanced Ventilator Model-0026,jkr-jkr-advanced-ventilator-model-0026-26,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Advanced Ventilator Model-0026 represents the pinnacle of Home Care technology, offering unmatched reliability.","Dimensions: 98x61cm
Voltage: 110-240V
Warranty: 2 Years",4651,4185.9,TRUE,JKR Advanced Ventilator Model-0026 | Buy Professional Ventilator Online,Looking for JKR Advanced Ventilator Model-0026? We offer the best prices on Home Care in the UAE. Fast delivery and warranty included.,"Home Care, Ventilator, JKR International, Buy Online",Standard Package,JKR-PROD-0026-SKU,71,available,2.5
Home Care,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=600,JKR Pro Light Model-0027,jkr-jkr-pro-light-model-0027-27,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"https://images.unsplash.com/photo-1576091160550-217359f4ecf8?auto=format&fit=crop&q=80&w=800,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800","CE Certified
ISO Standard
High Durability","The JKR Pro Light Model-0027 represents the pinnacle of Home Care technology, offering unmatched reliability.","Dimensions: 70x27cm
Voltage: 110-240V
Warranty: 2 Years",8939,8045.1,TRUE,JKR Pro Light Model-0027 | Buy Professional Light Online,Looking for JKR Pro Light Model-0027? We offer the best prices on Home Care in the UAE. Fast delivery and warranty included.,"Home Care, Light, JKR International, Buy Online",Standard Package,JKR-PROD-0027-SKU,295,available,2.5
