category,name,slug,image_url,features,overview,technical_info,regular_price,sale_price,is_active,sku_title,sku_id,sku_quantity,sku_shipping_status,sku_weight
Home Care,Industrial Kit X-019,industrial-kit-x-019,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Kit X-019 is designed for high performance in home care applications.,"Model: JKR-019
Power: 220V
Material: High Grade",1435,1219.75,TRUE,Standard,JKR-019-SKU,451,available,1.5
Consumables,Digital Scanner X-020,digital-scanner-x-020,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Digital Scanner X-020 is designed for high performance in consumables applications.,"Model: JKR-020
Power: 220V
Material: High Grade",2517,2139.45,TRUE,Standard,JKR-020-SKU,330,available,1.5
Consumables,Digital Ventilator X-021,digital-ventilator-x-021,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Digital Ventilator X-021 is designed for high performance in consumables applications.,"Model: JKR-021
Power: 220V
Material: High Grade",729,619.65,TRUE,Standard,JKR-021-SKU,303,available,1.5
Laboratory,Digital Ventilator X-022,digital-ventilator-x-022,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Digital Ventilator X-022 is designed for high performance in laboratory applications.,"Model: JKR-022
Power: 220V
Material: High Grade",3712,3155.2,TRUE,Standard,JKR-022-SKU,159,available,1.5
Surgical Supplies,Compact Scale X-023,compact-scale-x-023,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Scale X-023 is designed for high performance in surgical supplies applications.,"Model: JKR-023
Power: 220V
Material: High Grade",4872,4141.2,TRUE,Standard,JKR-023-SKU,59,available,1.5
Medical Equipment,Digital Cylinder X-024,digital-cylinder-x-024,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Digital Cylinder X-024 is designed for high performance in medical equipment applications.,"Model: JKR-024
Power: 220V
Material: High Grade",4248,3610.8,TRUE,Standard,JKR-024-SKU,489,available,1.5
Surgical Supplies,Compact Scanner X-025,compact-scanner-x-025,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Scanner X-025 is designed for high performance in surgical supplies applications.,"Model: JKR-025
Power: 220V
Material: High Grade",2663,2263.55,TRUE,Standard,JKR-025-SKU,370,available,1.5
Home Care,Compact Gloves X-026,compact-gloves-x-026,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Gloves X-026 is designed for high performance in home care applications.,"Model: JKR-026
Power: 220V
Material: High Grade",847,719.95,TRUE,Standard,JKR-026-SKU,339,available,1.5
Home Care,Advanced Scanner X-027,advanced-scanner-x-027,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Advanced Scanner X-027 is designed for high performance in home care applications.,"Model: JKR-027
Power: 220V
Material: High Grade",2454,2085.9,TRUE,Standard,JKR-027-SKU,82,available,1.5
Home Care,Premium Ventilator X-028,premium-ventilator-x-028,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Premium Ventilator X-028 is designed for high performance in home care applications.,"Model: JKR-028
Power: 220V
Material: High Grade",2211,1879.35,TRUE,Standard,JKR-028-SKU,335,available,1.5
Consumables,Handheld Gloves X-029,handheld-gloves-x-029,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Handheld Gloves X-029 is designed for high performance in consumables applications.,"Model: JKR-029
Power: 220V
Material: High Grade",4705,3999.25,TRUE,Standard,JKR-029-SKU,260,available,1.5
Surgical Supplies,Industrial Scanner X-030,industrial-scanner-x-030,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Scanner X-030 is designed for high performance in surgical supplies applications.,"Model: JKR-030
Power: 220V
Material: High Grade",2484,2111.4,TRUE,Standard,JKR-030-SKU,323,available,1.5
Home Care,Premium Needles X-031,premium-needles-x-031,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Premium Needles X-031 is designed for high performance in home care applications.,"Model: JKR-031
Power: 220V
Material: High Grade",2873,2442.05,TRUE,Standard,JKR-031-SKU,397,available,1.5
Laboratory,Digital Gloves X-032,digital-gloves-x-032,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Digital Gloves X-032 is designed for high performance in laboratory applications.,"Model: JKR-032
Power: 220V
Material: High Grade",571,485.35,TRUE,Standard,JKR-032-SKU,401,available,1.5
Medical Equipment,Handheld Needles X-033,handheld-needles-x-033,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Handheld Needles X-033 is designed for high performance in medical equipment applications.,"Model: JKR-033
Power: 220V
Material: High Grade",2597,2207.45,TRUE,Standard,JKR-033-SKU,2,available,1.5
Medical Equipment,Advanced Meter X-034,advanced-meter-x-034,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Advanced Meter X-034 is designed for high performance in medical equipment applications.,"Model: JKR-034
Power: 220V
Material: High Grade",2829,2404.65,TRUE,Standard,JKR-034-SKU,325,available,1.5
Surgical Supplies,Industrial Kit X-035,industrial-kit-x-035,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Kit X-035 is designed for high performance in surgical supplies applications.,"Model: JKR-035
Power: 220V
Material: High Grade",351,298.35,TRUE,Standard,JKR-035-SKU,52,available,1.5
Medical Equipment,Automatic Pump X-036,automatic-pump-x-036,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Automatic Pump X-036 is designed for high performance in medical equipment applications.,"Model: JKR-036
Power: 220V
Material: High Grade",1183,1005.55,TRUE,Standard,JKR-036-SKU,123,available,1.5
Medical Equipment,Industrial Scanner X-037,industrial-scanner-x-037,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Scanner X-037 is designed for high performance in medical equipment applications.,"Model: JKR-037
Power: 220V
Material: High Grade",1577,1340.45,TRUE,Standard,JKR-037-SKU,390,available,1.5
Home Care,Portable Needles X-038,portable-needles-x-038,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Needles X-038 is designed for high performance in home care applications.,"Model: JKR-038
Power: 220V
Material: High Grade",2138,1817.3,TRUE,Standard,JKR-038-SKU,434,available,1.5
Surgical Supplies,Portable Scanner X-039,portable-scanner-x-039,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Scanner X-039 is designed for high performance in surgical supplies applications.,"Model: JKR-039
Power: 220V
Material: High Grade",3930,3340.5,TRUE,Standard,JKR-039-SKU,461,available,1.5
Consumables,Compact Pump X-040,compact-pump-x-040,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Pump X-040 is designed for high performance in consumables applications.,"Model: JKR-040
Power: 220V
Material: High Grade",3281,2788.85,TRUE,Standard,JKR-040-SKU,236,available,1.5
Diagnostic Tools,Handheld Meter X-041,handheld-meter-x-041,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Handheld Meter X-041 is designed for high performance in diagnostic tools applications.,"Model: JKR-041
Power: 220V
Material: High Grade",470,399.5,TRUE,Standard,JKR-041-SKU,40,available,1.5
Consumables,Automatic Monitor X-042,automatic-monitor-x-042,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Automatic Monitor X-042 is designed for high performance in consumables applications.,"Model: JKR-042
Power: 220V
Material: High Grade",4149,3526.65,TRUE,Standard,JKR-042-SKU,466,available,1.5
Laboratory,Portable Pump X-043,portable-pump-x-043,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Pump X-043 is designed for high performance in laboratory applications.,"Model: JKR-043
Power: 220V
Material: High Grade",731,621.35,TRUE,Standard,JKR-043-SKU,114,available,1.5
Diagnostic Tools,Automatic Pump X-044,automatic-pump-x-044,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Automatic Pump X-044 is designed for high performance in diagnostic tools applications.,"Model: JKR-044
Power: 220V
Material: High Grade",4620,3927.0,TRUE,Standard,JKR-044-SKU,378,available,1.5
Laboratory,Industrial Pump X-045,industrial-pump-x-045,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Pump X-045 is designed for high performance in laboratory applications.,"Model: JKR-045
Power: 220V
Material: High Grade",4375,3718.75,TRUE,Standard,JKR-045-SKU,344,available,1.5
Home Care,Portable Ventilator X-046,portable-ventilator-x-046,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Ventilator X-046 is designed for high performance in home care applications.,"Model: JKR-046
Power: 220V
Material: High Grade",1508,1281.8,TRUE,Standard,JKR-046-SKU,39,available,1.5
Diagnostic Tools,Portable Scale X-047,portable-scale-x-047,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Scale X-047 is designed for high performance in diagnostic tools applications.,"Model: JKR-047
Power: 220V
Material: High Grade",750,637.5,TRUE,Standard,JKR-047-SKU,155,available,1.5
Laboratory,Compact Ventilator X-048,compact-ventilator-x-048,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Ventilator X-048 is designed for high performance in laboratory applications.,"Model: JKR-048
Power: 220V
Material: High Grade",516,438.6,TRUE,Standard,JKR-048-SKU,38,available,1.5
Diagnostic Tools,Industrial Cylinder X-049,industrial-cylinder-x-049,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Cylinder X-049 is designed for high performance in diagnostic tools applications.,"Model: JKR-049
Power: 220V
Material: High Grade",2763,2348.55,TRUE,Standard,JKR-049-SKU,389,available,1.5
Surgical Supplies,Portable Kit X-050,portable-kit-x-050,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Kit X-050 is designed for high performance in surgical supplies applications.,"Model: JKR-050
Power: 220V
Material: High Grade",1515,1287.75,TRUE,Standard,JKR-050-SKU,383,available,1.5
Diagnostic Tools,Compact Pump X-051,compact-pump-x-051,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Pump X-051 is designed for high performance in diagnostic tools applications.,"Model: JKR-051
Power: 220V
Material: High Grade",1753,1490.05,TRUE,Standard,JKR-051-SKU,420,available,1.5
Consumables,Compact Kit X-052,compact-kit-x-052,https://images.unsplash.com/photo-1631549916768-4119cb21fa04?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Kit X-052 is designed for high performance in consumables applications.,"Model: JKR-052
Power: 220V
Material: High Grade",2340,1989.0,TRUE,Standard,JKR-052-SKU,103,available,1.5
Consumables,Industrial Cylinder X-053,industrial-cylinder-x-053,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Cylinder X-053 is designed for high performance in consumables applications.,"Model: JKR-053
Power: 220V
Material: High Grade",1020,867.0,TRUE,Standard,JKR-053-SKU,362,available,1.5
Medical Equipment,Automatic Cylinder X-054,automatic-cylinder-x-054,https://images.unsplash.com/photo-1581594693702-fbdc51b2ad46?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Automatic Cylinder X-054 is designed for high performance in medical equipment applications.,"Model: JKR-054
Power: 220V
Material: High Grade",4138,3517.3,TRUE,Standard,JKR-054-SKU,268,available,1.5
Laboratory,Compact Pump X-055,compact-pump-x-055,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Pump X-055 is designed for high performance in laboratory applications.,"Model: JKR-055
Power: 220V
Material: High Grade",509,432.65,TRUE,Standard,JKR-055-SKU,177,available,1.5
Consumables,Industrial Ventilator X-056,industrial-ventilator-x-056,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Ventilator X-056 is designed for high performance in consumables applications.,"Model: JKR-056
Power: 220V
Material: High Grade",2160,1836.0,TRUE,Standard,JKR-056-SKU,23,available,1.5
Laboratory,Industrial Ventilator X-057,industrial-ventilator-x-057,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Ventilator X-057 is designed for high performance in laboratory applications.,"Model: JKR-057
Power: 220V
Material: High Grade",1645,1398.25,TRUE,Standard,JKR-057-SKU,147,available,1.5
Diagnostic Tools,Portable Cylinder X-058,portable-cylinder-x-058,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Cylinder X-058 is designed for high performance in diagnostic tools applications.,"Model: JKR-058
Power: 220V
Material: High Grade",2994,2544.9,TRUE,Standard,JKR-058-SKU,351,available,1.5
Home Care,Handheld Gloves X-059,handheld-gloves-x-059,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Handheld Gloves X-059 is designed for high performance in home care applications.,"Model: JKR-059
Power: 220V
Material: High Grade",317,269.45,TRUE,Standard,JKR-059-SKU,290,available,1.5
Home Care,Compact Monitor X-060,compact-monitor-x-060,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Monitor X-060 is designed for high performance in home care applications.,"Model: JKR-060
Power: 220V
Material: High Grade",3862,3282.7,TRUE,Standard,JKR-060-SKU,70,available,1.5
Medical Equipment,Premium Cylinder X-061,premium-cylinder-x-061,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Premium Cylinder X-061 is designed for high performance in medical equipment applications.,"Model: JKR-061
Power: 220V
Material: High Grade",911,774.35,TRUE,Standard,JKR-061-SKU,80,available,1.5
Diagnostic Tools,Handheld Cylinder X-062,handheld-cylinder-x-062,https://images.unsplash.com/photo-1584036561566-baf8f5f1b144?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Handheld Cylinder X-062 is designed for high performance in diagnostic tools applications.,"Model: JKR-062
Power: 220V
Material: High Grade",2452,2084.2,TRUE,Standard,JKR-062-SKU,8,available,1.5
Consumables,Portable Monitor X-063,portable-monitor-x-063,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Monitor X-063 is designed for high performance in consumables applications.,"Model: JKR-063
Power: 220V
Material: High Grade",3368,2862.8,TRUE,Standard,JKR-063-SKU,233,available,1.5
Medical Equipment,Compact Monitor X-064,compact-monitor-x-064,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Monitor X-064 is designed for high performance in medical equipment applications.,"Model: JKR-064
Power: 220V
Material: High Grade",2423,2059.55,TRUE,Standard,JKR-064-SKU,435,available,1.5
Medical Equipment,Industrial Meter X-065,industrial-meter-x-065,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Meter X-065 is designed for high performance in medical equipment applications.,"Model: JKR-065
Power: 220V
Material: High Grade",3914,3326.9,TRUE,Standard,JKR-065-SKU,111,available,1.5
Laboratory,Compact Pump X-066,compact-pump-x-066,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Pump X-066 is designed for high performance in laboratory applications.,"Model: JKR-066
Power: 220V
Material: High Grade",4949,4206.65,TRUE,Standard,JKR-066-SKU,49,available,1.5
Laboratory,Advanced Gloves X-067,advanced-gloves-x-067,https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Advanced Gloves X-067 is designed for high performance in laboratory applications.,"Model: JKR-067
Power: 220V
Material: High Grade",4500,3825.0,TRUE,Standard,JKR-067-SKU,310,available,1.5
Consumables,Handheld Scanner X-068,handheld-scanner-x-068,https://images.unsplash.com/photo-1631815541542-e5510659359e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Handheld Scanner X-068 is designed for high performance in consumables applications.,"Model: JKR-068
Power: 220V
Material: High Grade",4572,3886.2,TRUE,Standard,JKR-068-SKU,220,available,1.5
Diagnostic Tools,Industrial Gloves X-069,industrial-gloves-x-069,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Industrial Gloves X-069 is designed for high performance in diagnostic tools applications.,"Model: JKR-069
Power: 220V
Material: High Grade",1924,1635.4,TRUE,Standard,JKR-069-SKU,356,available,1.5
Laboratory,Automatic Kit X-070,automatic-kit-x-070,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Automatic Kit X-070 is designed for high performance in laboratory applications.,"Model: JKR-070
Power: 220V
Material: High Grade",1278,1086.3,TRUE,Standard,JKR-070-SKU,367,available,1.5
Consumables,Compact Monitor X-071,compact-monitor-x-071,https://images.unsplash.com/photo-1550624559-4bae04422ddc?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Compact Monitor X-071 is designed for high performance in consumables applications.,"Model: JKR-071
Power: 220V
Material: High Grade",3404,2893.4,TRUE,Standard,JKR-071-SKU,154,available,1.5
Surgical Supplies,Portable Meter X-072,portable-meter-x-072,https://images.unsplash.com/photo-1612349317150-e413f289d05e?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Meter X-072 is designed for high performance in surgical supplies applications.,"Model: JKR-072
Power: 220V
Material: High Grade",4621,3927.85,TRUE,Standard,JKR-072-SKU,171,available,1.5
Laboratory,Portable Monitor X-073,portable-monitor-x-073,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&q=80&w=800,"Fast delivery
Quality certified
Warranty 1 year",This Portable Monitor X-073 is designed for high performance in laboratory applications.,"Model: JKR-073
Power: 220V
Material: High Grade",3291,2797.35,TRUE,Standard,JKR-073-SKU,330,available,1.5
